Organization Name,Organization Name URL,Headquarters Location,Industries,Website,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Founded Date,Founded Date Precision,Industry Groups,Stock Symbol,Stock Symbol URL,Stock Exchange,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Investor Type,Investment Stage
SAM TECHNOLOGY,https://www.crunchbase.com/organization/sam-technology-e8eb,"Guangzhou, Guangdong, China","Big Data, Information Services, Network Security",https://www.gzsam.com.cn/,,,,,2002-04-15,day,"Data and Analytics, Information Technology, Privacy and Security",839794,https://www.crunchbase.com/ipo/sam-technology-e8eb-ipo--83a3d2f8,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Jinxiandai Information Industry,https://www.crunchbase.com/organization/jinxiandai-information-industry,"Jinan, Shandong, China","Consumer Software, IT Management, Software",http://www.jxdinfo.com,,,,,,,"Information Technology, Software",300830,https://www.crunchbase.com/ipo/jinxiandai-information-industry-ipo--068d881c,SZSE - Shenzhen Stock Exchange,,,,,,,,
UDsafe,https://www.crunchbase.com/organization/udsafe,"Haidian, Beijing, China","Cloud Computing, Cloud Storage, Data Management, Information Technology",http://www.udsafe.com.cn/,,,,,2006-09-25,day,"Data and Analytics, Information Technology, Internet Services, Software",837283,https://www.crunchbase.com/ipo/udsafe-ipo--3d9c8dfd,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Fujian Apex Software,https://www.crunchbase.com/organization/fujian-apex-software,"Foochow, Fujian, China","Consumer Applications, Software, Software Engineering",http://www.apexsoft.com.cn,,,,,1996-01-01,day,"Apps, Science and Engineering, Software",603383,https://www.crunchbase.com/ipo/fujian-apex-software-ipo--6a883377,SSE - Shanghai Stock Exchange,,,,,,,,
Kangde Xin Composite Material Group,https://www.crunchbase.com/organization/kangde-xin-composite-material-group,"Zhangjiagang, Jiangsu, China","3D Printing, 3D Technology, Manufacturing",http://www.kangdexin.com/,,,,,2001-08-21,day,"Hardware, Manufacturing, Software",002450,https://www.crunchbase.com/ipo/kangde-xin-composite-material-group-ipo--13c90eaa,SZSE - Shenzhen Stock Exchange,,,,,,,,
egova,https://www.crunchbase.com/organization/beijing-digital-orthodox-technology,"Beijing, Beijing, China","Enterprise Software, Property Management, Social Network",http://www.egova.com.cn,23500000,CNY,3396024,2,2001-01-01,year,"Internet Services, Real Estate, Software",300075,https://www.crunchbase.com/ipo/beijing-digital-orthodox-technology-ipo--6aa452dc,SZSE - Shenzhen Stock Exchange,,,,,,,,
Jinrun Systems,https://www.crunchbase.com/organization/jinrun-systems,"Haidian, Beijing, China","Construction, Enterprise Software, Information Technology, Software",http://www.jrztbpt.com/,,,,,1998-08-01,day,"Information Technology, Real Estate, Software",430120,https://www.crunchbase.com/ipo/jinrun-systems-ipo--bfc6c431,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Shanghai Welltech Automation,https://www.crunchbase.com/organization/shanghai-welltech-automation,"Minghang, Shanghai, China","Electronic Design Automation (EDA), Electronics, Manufacturing",http://www.welltech.cn,,,,,1992-10-01,day,"Consumer Electronics, Hardware, Manufacturing, Software",002058,https://www.crunchbase.com/ipo/shanghai-welltech-automation-ipo--e9fab8fe,SZSE - Shenzhen Stock Exchange,,,,,,,,
Greatwall Military Industry,https://www.crunchbase.com/organization/anhui-greatwall-military-industry,"Hefei, Anhui, China","Industrial Engineering, Industrial Manufacturing, Manufacturing, Military",http://www.ahccjg.com.cn,,USD,,1,,,"Government and Military, Information Technology, Manufacturing, Science and Engineering",601606,https://www.crunchbase.com/ipo/anhui-greatwall-military-industry-ipo--d3a41683,SSE - Shanghai Stock Exchange,,,,,,,,
VANY,https://www.crunchbase.com/organization/vany,"Xuhui, Shanghai, China","Information Technology, Network Security, Software",http://www.vanytech.com/,,,,,2005-01-01,day,"Information Technology, Privacy and Security, Software",871414,https://www.crunchbase.com/ipo/vany-ipo--ae158722,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Heyoo,https://www.crunchbase.com/organization/heyoo-e5c1,"Wuxi Shi, Jiangsu, China","Augmented Reality, Internet, Software, Virtual Reality",http://www.heyoo-vr.com/,,,,,2010-02-25,day,"Hardware, Internet Services, Software",831007,https://www.crunchbase.com/ipo/heyoo-e5c1-ipo--d5e08779,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Shuoen Network,https://www.crunchbase.com/organization/shuoen,"Shanghai, Shanghai, China","Database, Information Services, Information Technology, Software",http://www.dashuoen.com,,,,,2009-04-01,day,"Data and Analytics, Information Technology, Software",872958,https://www.crunchbase.com/ipo/shuoen-ipo--32a210c4,NEEQ - National Equities Exchange and Quotations,,,,,,,,
broada,https://www.crunchbase.com/organization/broada,"Haidian, Beijing, China","Enterprise Software, Information Technology, Software",http://www.broada.com/,,,,,2003-09-24,day,"Information Technology, Software",833322,https://www.crunchbase.com/ipo/broada-ipo--51397615,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Silkroad Digital Vision,https://www.crunchbase.com/organization/silkroad-digital-vision,"Shenzhen, Guangdong, China","3D Technology, Architecture, Computer, Interior Design",https://www.silkroadcg.com/,,,,,2000-03-23,day,"Consumer Electronics, Design, Hardware, Real Estate, Software",300556,https://www.crunchbase.com/ipo/silkroad-digital-vision-ipo--8662ce50,SZSE - Shenzhen Stock Exchange,,,,,,,,
"Pluswell Co.,LTD",https://www.crunchbase.com/organization/pluswell-co-ltd,"Haidian, Beijing, China","Information Technology, IT Infrastructure",http://www.pluswell.com/,,,,,2002-09-24,day,Information Technology,430643,https://www.crunchbase.com/ipo/pluswell-co-ltd-ipo--f64b7c0f,NEEQ - National Equities Exchange and Quotations,,,,,,,,
MUHEDA,https://www.crunchbase.com/organization/muheda,"Beijing, Beijing, China","Data Collection and Labeling, Data Mining, Information Technology, Smart Home",http://www.muheda.com/,,,,,2008-12-01,day,"Consumer Electronics, Data and Analytics, Information Technology, Real Estate",836801,https://www.crunchbase.com/ipo/muheda-ipo--f03c65f8,NEEQ - National Equities Exchange and Quotations,,,,,,,,
KAIFREN,https://www.crunchbase.com/organization/kaifren,"Haidian, Beijing, China","3D Technology, Internet of Things, Software",https://www.kaifren.com/,1500000,CNY,223336,1,2010-01-28,day,"Hardware, Internet Services, Software",873327,https://www.crunchbase.com/ipo/kaifren-ipo--735f653b,NEEQ - National Equities Exchange and Quotations,,,,,,,,
INTERSKY,https://www.crunchbase.com/organization/intersky,"Yinzhou, Zhejiang, China","Enterprise Resource Planning (ERP), Information Technology, Software",http://intersky.com.cn,,,,,2001-11-12,day,"Information Technology, Software",831874,https://www.crunchbase.com/ipo/intersky-ipo--a4b027f3,NEEQ - National Equities Exchange and Quotations,,,,,,,,
HanIT,https://www.crunchbase.com/organization/hanit,"Suzhou, Jiangsu, China","3D Technology, Augmented Reality, Virtual Reality",http://www.hanit.cn/,,,,,2012-08-01,day,"Hardware, Software",835049,https://www.crunchbase.com/ipo/hanit-ipo--13045136,NEEQ - National Equities Exchange and Quotations,,,,,,,,
"Beijing Jiaoda Signal Technology Co., Ltd.",https://www.crunchbase.com/organization/beijing-jiaoda-signal-technology-co-ltd,"Changping, Beijing, China","Technical Support, Transportation",http://jd-signal.com/,,,,,2001-06-06,day,"Information Technology, Other, Transportation",300851,https://www.crunchbase.com/ipo/beijing-jiaoda-signal-technology-co-ltd-ipo--802707bf,SZSE - Shenzhen Stock Exchange,,,,,,,,
Shenzhen Sunxing Light Alloy Materials,https://www.crunchbase.com/organization/shenzhen-sunxing-light-alloy-materials,"Shenzhen, Guangdong, China","Manufacturing, Military, Mining",http://www.stalloys.com,,,,,1992-01-01,day,"Government and Military, Information Technology, Manufacturing, Natural Resources",603978,https://www.crunchbase.com/ipo/shenzhen-sunxing-light-alloy-materials-ipo--1343bdba,SSE - Shanghai Stock Exchange,,,,,,,,
Frontier InfoTech,https://www.crunchbase.com/organization/frontier-infotech,"Haidian, Beijing, China","Big Data, Cloud Computing, Information Services, Information Technology, Manufacturing",http://drm.net.cn,,,,,2010-08-23,day,"Data and Analytics, Information Technology, Internet Services, Manufacturing, Software",870888,https://www.crunchbase.com/ipo/frontier-infotech-ipo--5099b295,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Global Chamber of Commerce Network,https://www.crunchbase.com/organization/netcoc-com,"Jiading, Shanghai, China","Business Information Systems, Business Intelligence, Small and Medium Businesses",http://www.shanghuiwangluo.com/,13000000,CNY,1981577,2,2009-03-25,day,"Data and Analytics, Information Technology, Other",832480,https://www.crunchbase.com/ipo/netcoc-com-ipo--6bc37053,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Bitoss,https://www.crunchbase.com/organization/bitoss,"Shenzhen, Guangdong, China","Big Data, Cloud Computing, Information Technology, Internet",http://www.bitoss.cn/,,,,,2008-05-28,day,"Data and Analytics, Information Technology, Internet Services, Software",839285,https://www.crunchbase.com/ipo/bitoss-ipo--221ffd49,NEEQ - National Equities Exchange and Quotations,,,,,,,,
NANE,https://www.crunchbase.com/organization/nane,"Baoan, Guangdong, China","Image Recognition, Service Industry, Smart Home",http://www.sznane.com/,,,,,2005-08-04,day,"Consumer Electronics, Data and Analytics, Other, Real Estate, Software",871747,https://www.crunchbase.com/ipo/nane-ipo--4834f40d,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Zhejiang Netsun,https://www.crunchbase.com/organization/zhejiang-netsun,"Hangzhou, Zhejiang, China","Data Storage, Information Technology",http://corp.netsun.com,,,,,1997-01-01,day,"Hardware, Information Technology, Software",002095,https://www.crunchbase.com/ipo/zhejiang-netsun-ipo--c5152ae4,SZSE - Shenzhen Stock Exchange,,,,,,,,
Daheng New Epoch Technology,https://www.crunchbase.com/organization/daheng-new-epoch-technology,"Haidian, Beijing, China","Business Information Systems, Electronics, Mechanical Engineering",http://www.dhxjy.com.cn,,,,,1998-12-14,day,"Consumer Electronics, Hardware, Information Technology, Science and Engineering",600288,https://www.crunchbase.com/ipo/daheng-new-epoch-technology-ipo--a8014297,SSE - Shanghai Stock Exchange,,,,,,,,
Erazar,https://www.crunchbase.com/organization/erazar,"Foshan, Guangdong, China","E-Commerce, Enterprise Software, Information Technology, Software",http://www.erazar.com/,,,,,2014-07-22,day,"Commerce and Shopping, Information Technology, Software",839774,https://www.crunchbase.com/ipo/erazar-ipo--6f455b2d,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Zhenlan instrument,https://www.crunchbase.com/organization/zhenlan-instrument,"Qingpu, Shanghai, China","Database, Marketing, Sales",https://www.zenner-metering.com/,,,,,2011-11-01,month,"Data and Analytics, Sales and Marketing, Software",301303,https://www.crunchbase.com/ipo/zhenlan-instrument-ipo--ff103312,SZSE - Shenzhen Stock Exchange,1956000000,CNY,288465792,5864000000,CNY,864807468,,
Black Oil Shares,https://www.crunchbase.com/organization/black-oil-shares,"Beijing, Beijing, China","Digital Media, Graphic Design, Virtual Assistant",http://www.heiyougufen.com,,,,,1988-01-01,day,"Design, Media and Entertainment, Software",835058,https://www.crunchbase.com/ipo/black-oil-shares-ipo--c4520c91,NEEQ - National Equities Exchange and Quotations,,,,,,,,
renrunkeji.com,https://www.crunchbase.com/organization/renrunkeji-com,"Wuchang, Hubei, China","Automotive, Financial Services, FinTech, SaaS",http://www.renrunkeji.com/,,,,,2013-06-19,day,"Financial Services, Software, Transportation",838787,https://www.crunchbase.com/ipo/renrunkeji-com-ipo--6e5162c1,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Uniauto,https://www.crunchbase.com/organization/uniauto,"Jinan, Shandong, China","Big Data, Information Technology, Military",http://www.uniauto.me/,,,,,2012-03-29,day,"Data and Analytics, Government and Military, Information Technology",837915,https://www.crunchbase.com/ipo/uniauto-ipo--e59ee5e2,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Ruipu Technology,https://www.crunchbase.com/organization/reap-a276,"Guangzhou, Guangdong, China","Big Data, Cloud Computing, Information Technology",http://www.gdreap.com,,,,,2004-08-30,day,"Data and Analytics, Information Technology, Internet Services, Software",839399,https://www.crunchbase.com/ipo/reap-a276-ipo--0d199e45,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Wuxi Hua Dong Heavy Machinery,https://www.crunchbase.com/organization/wuxi-hua-dong-heavy-machinery,"Wuxi, Anhui, China","Advanced Materials, Developer Platform, Manufacturing",http://www.hdhm.com/,25610000,USD,25610000,1,2004-01-01,year,"Manufacturing, Science and Engineering, Software",002685,https://www.crunchbase.com/ipo/wuxi-hua-dong-heavy-machinery-ipo--88e7b0d1,SZSE - Shenzhen Stock Exchange,,,,,,,,
MCLOUD,https://www.crunchbase.com/organization/mcloud,"Shenzhen, Guangdong, China","Augmented Reality, Information Technology, Virtual Reality",http://www.hologramchina.cn/,,,,,2016-03-15,day,"Hardware, Information Technology, Software",831105,https://www.crunchbase.com/ipo/mcloud-ipo--5db6be51,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Tianjin Jinhaitong Semiconductor Equipment,https://www.crunchbase.com/organization/jinhaitong,"Tianjin, Guangdong, China","Manufacturing, Sales Automation, Semiconductor, Usability Testing",https://www.jht-design.com/,,,,,2012-12-24,day,"Data and Analytics, Design, Hardware, Information Technology, Manufacturing, Sales and Marketing, Science and Engineering, Software",603061,https://www.crunchbase.com/ipo/jinhaitong-ipo--5c308ec6,SSE - Shanghai Stock Exchange,878700000,CNY,127211396,2637000000,CNY,381764484,,
TNYOO,https://www.crunchbase.com/organization/tnyoo,"Kunming, Yunnan, China","Gaming, Online Games, Virtual Reality",http://www.tnyoo.com/,,,,,2007-10-18,day,"Gaming, Hardware, Software",870591,https://www.crunchbase.com/ipo/tnyoo-ipo--fd267a17,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Yuntech,https://www.crunchbase.com/organization/yuntech,"Beijing, Beijing, China","Cloud Computing, Information Technology, Software",http://www.yuntech.com.cn/,,,,,,,"Information Technology, Internet Services, Software",833915,https://www.crunchbase.com/ipo/yuntech-ipo--20bfe34b,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Sichuan Zhongguang Lightning Protection Technologies,https://www.crunchbase.com/organization/sichuan-zhongguang-lightning-protection-technologies,"Chengdu, Sichuan, China","Consumer Electronics, Machinery Manufacturing, Manufacturing, Retail Technology",http://www.zhongguang.com/en/,,,,,2004-02-18,day,"Commerce and Shopping, Consumer Electronics, Hardware, Manufacturing, Software",300414,https://www.crunchbase.com/ipo/sichuan-zhongguang-lightning-protection-technologies-ipo--1470729a,SZSE - Shenzhen Stock Exchange,,,,,,,,
Wincom Digitech,https://www.crunchbase.com/organization/wincom-digitech,"Guangzhou, Guangdong, China","Analytics, Big Data, Cloud Computing, Data Center, Data Collection and Labeling, Data Mining, Information Services, Information Technology, Internet of Things",http://www.wincomtek.com/,,,,,2000-03-28,day,"Data and Analytics, Hardware, Information Technology, Internet Services, Software",832562,https://www.crunchbase.com/ipo/wincom-digitech-ipo--9d41e4a5,NEEQ - National Equities Exchange and Quotations,,,,,,,,
SINOSTAR CABLE CO LTD,https://www.crunchbase.com/organization/sinostar-cable-co-ltd,"Huangyuan, Qinghai, China","Hardware, Industrial, Manufacturing, Technical Support",http://www.sinostar-cable.com,,,,,2003-01-01,year,"Hardware, Information Technology, Manufacturing, Other",300933,https://www.crunchbase.com/ipo/sinostar-cable-co-ltd-ipo--e8eccdac,SZSE - Shenzhen Stock Exchange,,,,,,,,
CLEAR,https://www.crunchbase.com/organization/clear-61a1,"Shanghai, Shanghai, China","Big Data, Cloud Computing, Software",http://www.cleartv.cn,,,,,2002-05-24,day,"Data and Analytics, Internet Services, Software",834762,https://www.crunchbase.com/ipo/clear-61a1-ipo--d71d061c,NEEQ - National Equities Exchange and Quotations,,,,,,,,
